,precision,recall,f1-score,support
Ac,0.2631578947368421,0.11363636363636363,0.15873015873015872,44.0
As,0.6428571428571429,0.4864864864864865,0.5538461538461539,37.0
Cb,0.417910447761194,0.5833333333333334,0.48695652173913045,48.0
Cc,0.7307692307692307,0.3584905660377358,0.4810126582278481,53.0
Ci,0.5384615384615384,0.25925925925925924,0.35,27.0
Cs,0.26666666666666666,0.21052631578947367,0.23529411764705882,57.0
Ct,0.8837209302325582,0.95,0.9156626506024096,40.0
Cu,0.3793103448275862,0.3055555555555556,0.3384615384615385,36.0
Ns,0.07692307692307693,0.037037037037037035,0.05,54.0
Sc,0.26344086021505375,0.7205882352941176,0.3858267716535433,68.0
St,0.18181818181818182,0.1,0.12903225806451613,40.0
accuracy,0.38293650793650796,0.38293650793650796,0.38293650793650796,0.38293650793650796
macro avg,0.4222760286608247,0.3749921047663057,0.37134752990657793,504.0
weighted avg,0.40126618146864274,0.38293650793650796,0.36133812602302495,504.0
